test_idx,unique_id,influence
0,-339169814094791858,1.7637674147863436e-06
0,-1881570923455040894,-1.756002230735021e-06
0,-4153189047825723902,-6.5208005253225565e-06
0,4198011481018311154,-2.5922004169842694e-06
0,4602345038037596884,2.931678295681195e-06
0,-2460118329493905493,1.9813041944871657e-05
0,6775377058339543039,1.788590816431679e-05
0,2006538790407406292,2.5520766030240338e-05
0,3113077710064957319,7.782681677781511e-06
0,-8934261599784293639,7.627261220477521e-05
0,3469733654762387360,-1.9430806787568145e-05
0,-1031632308149483351,3.0607452572439797e-07
0,3358173140413213645,1.23540598906402e-06
0,6181650718774093190,1.9699476979440078e-05
0,-1644630441098265176,1.7190265566568996e-07
0,7774356416592942247,2.766842590062879e-05
0,8737772371559898465,-4.124625417034622e-05
0,-1712379766121259601,-3.3596197681617923e-06
0,5430159343943244656,-2.7770191081799567e-05
0,3427969569097269749,-3.832440143014537e-05
0,-8982159626905146715,-3.713507794600446e-07
0,-8300595567344716656,-2.9906604197549314e-06
0,976752690106651429,9.718806268210756e-06
0,4101159338335810504,7.272952643688768e-06
0,-8978739668212600826,2.5475492293480784e-06
0,-7183833842173909755,-0.00013083665908197872
0,-6136892416913567652,1.5604314285155851e-07
0,7985018093344333396,3.379338886588812e-05
0,-5771726222208540883,2.826188392646145e-06
0,-4596398608066850669,-1.1815675634352374e-05
0,5776028630516080038,-4.309049131734355e-06
0,6444868313420092825,6.70346253173193e-07
0,-3602975170539681666,0.00011151663056807593
0,1301489940144719223,-7.744729373371229e-06
0,926285971951411086,-0.00028349192871246487
0,-189811471818330575,5.722113655792782e-06
0,-6741134841795531681,-6.476861472037854e-06
0,-7359856665928829855,-8.835115067995503e-06
0,-8667969025742155738,-7.737064038337849e-07
0,-7421047336856182969,-1.3579628443949332e-07
0,5095912242249151198,-3.267072429480322e-05
0,-7443027569151177008,-0.00012083783440175466
0,2739659394897513083,3.362984557497839e-09
0,-3533651963963851407,4.939528821523709e-06
0,-4511119129842330915,0.00023976498050615191
0,-3027923866335958693,8.117276593111455e-06
0,-4167945831453035535,-1.4781581114675646e-07
0,4382062325733618463,1.451265507057542e-05
0,7807665506074569588,6.2065955717116594e-06
0,-2767481734191383585,-2.323833541595377e-06
0,-7658655095585695426,-3.4872726928369957e-07
0,119939830489893578,-1.3215717444836628e-06
0,8143114945604545923,-3.067209581786301e-05
0,8426522853678301011,-1.0904290235203007e-06
0,944815620080589332,-2.530313031456899e-05
0,-5630996361933521695,-2.0484900232986547e-05
0,7513917550053912240,3.947391269321088e-05
0,-9008026859731277720,-1.2224310466990573e-05
0,-3667425866832691321,-0.00010356634084018879
0,3699361232932328998,-1.8862309616451967e-06
0,7444349173285089450,1.050893115461804e-05
0,9005944579941429759,4.4178766245295265e-06
0,2615056370825944853,-1.7872339412861038e-06
0,2670396703124359922,3.0263461667345837e-05
0,-7626382730343768963,-8.621290362498257e-05
0,3931376956448870422,2.41229059838588e-07
0,4908819921049834895,-1.1839039188998868e-06
0,3915968772190109096,-3.93797909055138e-05
0,2938356606677067940,5.905191205357596e-06
0,-4331777632321695549,3.87622401376575e-05
0,-141036692384462178,-9.002724254969507e-08
0,5234220773479998377,-5.333076842362061e-05
0,-6100897478393374310,5.485903238877654e-05
0,5307464105480307289,-1.90259574992524e-05
0,-6702012264444099464,-3.562056974715233e-06
0,2668724334651975698,-9.281607333377906e-06
0,8453939389417865518,-8.460237040708307e-06
0,-4002102703859797392,1.964095054063364e-05
0,3890571340087935508,-1.4863538581266766e-05
0,-5706297635076670249,7.304941391339526e-06
0,-1667207607181793404,-7.524327543251275e-07
0,-2545240216748072522,-1.263522426597774e-05
0,5292528137012218561,2.80210485925636e-07
0,-7543181125136721406,-1.7702943750919076e-06
0,-558467849806373732,-1.0766597597466898e-05
0,3822520080463721795,1.611375409993343e-05
0,649255662195347873,-4.845849366574839e-05
0,8187612576216415087,5.449391551337612e-07
0,5149066400080440237,2.5667472982604522e-06
0,-2785199349000933882,-5.75862713958486e-07
0,-6344958811978438533,-1.483971010429741e-05
0,-6993781072908982399,-2.734995433684162e-06
0,-8412322903512313033,-2.2611298788888234e-07
0,3738591767335206475,-4.7106641432037577e-07
0,6574994814049951927,-5.19739542141906e-05
0,-9201571876738167282,-4.053081852362084e-07
0,4880287566578523904,6.765923899365589e-06
0,5726013991105088938,-8.819199592835503e-08
0,7826750162936898555,-7.6202449577067455e-06
0,-3139575312650319054,2.2861695470055565e-07
0,-1768229344140547548,-0.00011967765385634266
0,-1743464264030830393,-3.134101461910177e-06
0,2714497474037040876,-6.910287993378006e-06
0,-5850236165587308766,-4.302717570681125e-06
0,644700886116291601,-3.579241365514463e-07
0,-3289974019263986487,2.122318255715072e-05
0,3484976271520313781,-3.797947101702448e-05
0,8703990147326396861,1.0010899131884798e-07
0,-2667499045749669248,-6.829029098298633e-05
0,-3787394842877141499,-2.5376393750775605e-06
0,-3216158536041052438,-0.0002163424560421845
0,5579039771933023489,3.903883140310427e-06
0,-5977819958615421511,-8.695313226780854e-06
0,1470523952488274724,-2.269790456921328e-05
0,-2553148169689938135,-9.026983605053829e-07
0,1881648648517341189,1.22850110528816e-07
0,984253147152223270,-0.00023873569443821907
0,7401886937005222246,-2.7508394850883633e-06
